Datetime Air_Temperature Relative_humidity WindSpeed Shortwaveradiation Precipitation Prec_lqd Prec_sld
"30-Jun-2000 00:00:00" 284.21 0.79 4.08 310.53 0 8.19721875433485e-09 0
"01-Jul-2000 00:00:00" 284.34 0.79 4.08 310.36 0 8.19721875433485e-09 0
"02-Jul-2000 00:00:00" 284.46 0.8 4.08 310.13 0 8.19721875433485e-09 0
"03-Jul-2000 00:00:00" 284.58 0.8 4.08 309.87 0 8.19721875433485e-09 0
"04-Jul-2000 00:00:00" 284.7 0.8 4.08 309.55 0 8.19721875433485e-09 0
"05-Jul-2000 00:00:00" 284.81 0.8 4.08 309.19 0 8.19721875433485e-09 0
"06-Jul-2000 00:00:00" 284.91 0.8 4.08 308.79 0 8.19721875433485e-09 0
"07-Jul-2000 00:00:00" 285.01 0.8 4.08 308.33 0 8.19721875433485e-09 0
"08-Jul-2000 00:00:00" 285.11 0.8 4.08 307.84 0 8.19721875433485e-09 0
"09-Jul-2000 00:00:00" 285.2 0.8 4.08 307.3 0 8.19721875433485e-09 0
"10-Jul-2000 00:00:00" 285.28 0.81 4.08 306.71 0 8.19721875433485e-09 0
"11-Jul-2000 00:00:00" 285.36 0.81 4.08 306.08 0 8.19721875433485e-09 0
"12-Jul-2000 00:00:00" 285.44 0.81 4.08 305.4 0 8.19721875433485e-09 0
"13-Jul-2000 00:00:00" 285.51 0.81 4.08 304.68 0 8.19721875433485e-09 0
"14-Jul-2000 00:00:00" 285.57 0.81 4.08 303.92 0 8.19721875433485e-09 0
"15-Jul-2000 00:00:00" 285.63 0.81 4.08 303.11 0 8.19721875433485e-09 0
"16-Jul-2000 00:00:00" 285.68 0.81 4.08 302.26 0 8.19721875433485e-09 0
"17-Jul-2000 00:00:00" 285.73 0.81 4.08 301.36 0 8.19721875433485e-09 0
"18-Jul-2000 00:00:00" 285.78 0.81 4.08 300.42 0 8.19721875433485e-09 0
"19-Jul-2000 00:00:00" 285.81 0.81 4.08 299.44 0 8.19721875433485e-09 0
"20-Jul-2000 00:00:00" 285.85 0.81 4.08 298.41 0 8.19721875433485e-09 0
"21-Jul-2000 00:00:00" 285.87 0.82 4.08 297.35 0 8.19721875433485e-09 0
"22-Jul-2000 00:00:00" 285.9 0.82 4.08 296.24 0 8.19721875433485e-09 0
"23-Jul-2000 00:00:00" 285.91 0.82 4.08 295.08 0 8.19721875433485e-09 0
"24-Jul-2000 00:00:00" 285.92 0.82 4.08 293.89 0 8.19721875433485e-09 0
"25-Jul-2000 00:00:00" 285.93 0.82 4.08 292.66 0 8.19721875433485e-09 0
"26-Jul-2000 00:00:00" 285.93 0.82 4.08 291.38 0 8.19721875433485e-09 0
"27-Jul-2000 00:00:00" 285.93 0.82 4.08 290.07 0 8.19721875433485e-09 0
"28-Jul-2000 00:00:00" 285.92 0.82 4.08 288.71 0 8.19721875433485e-09 0
"29-Jul-2000 00:00:00" 285.9 0.82 4.08 287.32 0 8.19721875433485e-09 0
"30-Jul-2000 00:00:00" 285.88 0.82 4.08 285.89 0 8.19721875433485e-09 0
"31-Jul-2000 00:00:00" 285.86 0.82 4.08 284.42 0 8.19721875433485e-09 0
"01-Aug-2000 00:00:00" 285.83 0.82 4.08 282.91 0 8.19721875433485e-09 0
"02-Aug-2000 00:00:00" 285.79 0.82 4.08 281.36 0 8.19721875433485e-09 0
"03-Aug-2000 00:00:00" 285.75 0.82 4.08 279.77 0 8.19721875433485e-09 0
"04-Aug-2000 00:00:00" 285.7 0.82 4.08 278.15 0 8.19721875433485e-09 0
"05-Aug-2000 00:00:00" 285.65 0.82 4.08 276.49 0 8.19721875433485e-09 0
"06-Aug-2000 00:00:00" 285.59 0.82 4.08 274.8 0 8.19721875433485e-09 0
"07-Aug-2000 00:00:00" 285.53 0.82 4.08 273.07 0 8.19721875433485e-09 0
"08-Aug-2000 00:00:00" 285.47 0.82 4.08 271.3 0 8.19721875433485e-09 0
"09-Aug-2000 00:00:00" 285.39 0.82 4.08 269.5 0 8.19721875433485e-09 0
"10-Aug-2000 00:00:00" 285.32 0.82 4.08 267.67 0 8.19721875433485e-09 0
"11-Aug-2000 00:00:00" 285.23 0.82 4.08 265.8 0 8.19721875433485e-09 0
"12-Aug-2000 00:00:00" 285.14 0.83 4.08 263.91 0 8.19721875433485e-09 0
"13-Aug-2000 00:00:00" 285.05 0.83 4.08 261.97 0 8.19721875433485e-09 0
"14-Aug-2000 00:00:00" 284.95 0.83 4.08 260.01 0 8.19721875433485e-09 0
"15-Aug-2000 00:00:00" 284.85 0.83 4.08 258.02 0 8.19721875433485e-09 0
"16-Aug-2000 00:00:00" 284.74 0.83 4.08 255.99 0 8.19721875433485e-09 0
"17-Aug-2000 00:00:00" 284.63 0.83 4.08 253.94 0 8.19721875433485e-09 0
"18-Aug-2000 00:00:00" 284.51 0.83 4.08 251.86 0 8.19721875433485e-09 0
"19-Aug-2000 00:00:00" 284.39 0.83 4.08 249.75 0 8.19721875433485e-09 0
"20-Aug-2000 00:00:00" 284.26 0.82 4.08 247.61 0 8.19721875433485e-09 0
"21-Aug-2000 00:00:00" 284.13 0.82 4.08 245.44 0 8.19721875433485e-09 0
"22-Aug-2000 00:00:00" 283.99 0.82 4.08 243.24 0 8.19721875433485e-09 0
"23-Aug-2000 00:00:00" 283.85 0.82 4.08 241.03 0 8.19721875433485e-09 0
"24-Aug-2000 00:00:00" 283.7 0.82 4.08 238.78 0 8.19721875433485e-09 0
"25-Aug-2000 00:00:00" 283.55 0.82 4.08 236.51 0 8.19721875433485e-09 0
"26-Aug-2000 00:00:00" 283.4 0.82 4.08 234.22 0 8.19721875433485e-09 0
"27-Aug-2000 00:00:00" 283.24 0.82 4.08 231.9 0 8.19721875433485e-09 0
"28-Aug-2000 00:00:00" 283.07 0.82 4.08 229.56 0 8.19721875433485e-09 0
"29-Aug-2000 00:00:00" 282.9 0.82 4.08 227.2 0 8.19721875433485e-09 0
"30-Aug-2000 00:00:00" 282.73 0.82 4.08 224.81 0 8.19721875433485e-09 0
"31-Aug-2000 00:00:00" 282.55 0.82 4.08 222.41 0 8.19721875433485e-09 0
"01-Sep-2000 00:00:00" 282.37 0.82 4.08 219.99 0 8.19721875433485e-09 0
"02-Sep-2000 00:00:00" 282.18 0.82 4.08 217.54 0 8.19721875433485e-09 0
"03-Sep-2000 00:00:00" 281.99 0.82 4.08 215.08 0 8.19721875433485e-09 0
"04-Sep-2000 00:00:00" 281.79 0.82 4.08 212.6 0 8.19721875433485e-09 0
"05-Sep-2000 00:00:00" 281.59 0.82 4.08 210.11 0 8.19721875433485e-09 0
"06-Sep-2000 00:00:00" 281.39 0.82 4.08 207.6 0 8.19721875433485e-09 0
"07-Sep-2000 00:00:00" 281.18 0.82 4.08 205.07 0 8.19721875433485e-09 0
"08-Sep-2000 00:00:00" 280.97 0.82 4.08 202.53 0 8.19721875433485e-09 0
"09-Sep-2000 00:00:00" 280.76 0.82 4.08 199.97 0 8.19721875433485e-09 0
"10-Sep-2000 00:00:00" 280.54 0.82 4.08 197.4 0 8.19721875433485e-09 0
"11-Sep-2000 00:00:00" 280.32 0.81 4.08 194.82 0 8.19721875433485e-09 0
"12-Sep-2000 00:00:00" 280.09 0.81 4.08 192.23 0 8.19721875433485e-09 0
"13-Sep-2000 00:00:00" 279.86 0.81 4.08 189.62 0 8.19721875433485e-09 0
"14-Sep-2000 00:00:00" 279.63 0.81 4.08 187.01 0 8.19721875433485e-09 0
"15-Sep-2000 00:00:00" 279.39 0.81 4.08 184.38 0 8.19721875433485e-09 0
"16-Sep-2000 00:00:00" 279.15 0.81 4.08 181.75 0 8.19721875433485e-09 0
"17-Sep-2000 00:00:00" 278.91 0.81 4.08 179.11 0 8.19721875433485e-09 0
"18-Sep-2000 00:00:00" 278.66 0.81 4.08 176.46 0 8.19721875433485e-09 0
"19-Sep-2000 00:00:00" 278.41 0.81 4.08 173.81 0 8.19721875433485e-09 0
"20-Sep-2000 00:00:00" 278.16 0.81 4.08 171.15 0 8.19721875433485e-09 0
"21-Sep-2000 00:00:00" 277.91 0.8 4.08 168.49 0 8.19721875433485e-09 0
"22-Sep-2000 00:00:00" 277.65 0.8 4.08 165.82 0 8.19721875433485e-09 0
"23-Sep-2000 00:00:00" 277.39 0.8 4.08 163.15 0 8.19721875433485e-09 0
"24-Sep-2000 00:00:00" 277.12 0.8 4.08 160.47 0 8.19721875433485e-09 0
"25-Sep-2000 00:00:00" 276.85 0.8 4.08 157.8 0 8.19721875433485e-09 0
"26-Sep-2000 00:00:00" 276.59 0.8 4.08 155.12 0 8.19721875433485e-09 0
"27-Sep-2000 00:00:00" 276.31 0.8 4.08 152.45 0 8.19721875433485e-09 0
"28-Sep-2000 00:00:00" 276.04 0.8 4.08 149.78 0 8.19721875433485e-09 0
"29-Sep-2000 00:00:00" 275.76 0.8 4.08 147.1 0 8.19721875433485e-09 0
"30-Sep-2000 00:00:00" 275.48 0.79 4.08 144.43 0 8.19721875433485e-09 0
"01-Oct-2000 00:00:00" 275.2 0.79 4.08 141.77 0 8.19721875433485e-09 0
"02-Oct-2000 00:00:00" 274.92 0.79 4.08 139.1 0 8.19721875433485e-09 0
"03-Oct-2000 00:00:00" 274.63 0.79 4.08 136.44 0 8.19721875433485e-09 0
"04-Oct-2000 00:00:00" 274.35 0.79 4.08 133.79 0 8.19721875433485e-09 0
"05-Oct-2000 00:00:00" 274.06 0.79 4.08 131.15 0 0 5.31465155839339e-09
"06-Oct-2000 00:00:00" 273.76 0.79 4.08 128.51 0 0 5.31465155839339e-09
"07-Oct-2000 00:00:00" 273.47 0.78 4.08 125.88 0 0 5.31465155839339e-09
"08-Oct-2000 00:00:00" 273.18 0.78 4.08 123.25 0 0 5.31465155839339e-09
"09-Oct-2000 00:00:00" 272.88 0.78 4.08 120.64 0 0 5.31465155839339e-09
"10-Oct-2000 00:00:00" 272.58 0.78 4.08 118.04 0 0 5.31465155839339e-09
"11-Oct-2000 00:00:00" 272.29 0.78 4.08 115.45 0 0 5.31465155839339e-09
"12-Oct-2000 00:00:00" 271.99 0.78 4.08 112.87 0 0 5.31465155839339e-09
"13-Oct-2000 00:00:00" 271.68 0.78 4.08 110.3 0 0 5.31465155839339e-09
